date,close,asset,ticker_used
2023-11-24,108.390625,bonds,ZN=F
2023-11-27,109.0,bonds,ZN=F
2023-11-28,109.53125,bonds,ZN=F
2023-11-29,109.9375,bonds,ZN=F
2023-11-30,109.46875,bonds,ZN=F
2023-12-01,110.34375,bonds,ZN=F
2023-12-04,109.890625,bonds,ZN=F
2023-12-05,110.625,bonds,ZN=F
2023-12-06,110.8125,bonds,ZN=F
2023-12-07,110.84375,bonds,ZN=F
2023-12-08,109.96875,bonds,ZN=F
2023-12-11,110.03125,bonds,ZN=F
2023-12-12,110.25,bonds,ZN=F
2023-12-13,111.609375,bonds,ZN=F
2023-12-14,112.234375,bonds,ZN=F
2023-12-15,112.109375,bonds,ZN=F
2023-12-18,111.953125,bonds,ZN=F
2023-12-19,112.1875,bonds,ZN=F
2023-12-20,112.78125,bonds,ZN=F
2023-12-21,112.671875,bonds,ZN=F
2023-12-22,112.59375,bonds,ZN=F
2023-12-26,112.71875,bonds,ZN=F
2023-12-27,113.328125,bonds,ZN=F
2023-12-28,112.890625,bonds,ZN=F
2023-12-29,112.890625,bonds,ZN=F
2024-01-02,112.296875,bonds,ZN=F
2024-01-03,112.515625,bonds,ZN=F
2024-01-04,111.984375,bonds,ZN=F
2024-01-05,111.71875,bonds,ZN=F
2024-01-08,112.046875,bonds,ZN=F
2024-01-09,111.90625,bonds,ZN=F
2024-01-10,111.875,bonds,ZN=F
2024-01-11,112.34375,bonds,ZN=F
2024-01-12,112.59375,bonds,ZN=F
2024-01-16,111.84375,bonds,ZN=F
2024-01-17,111.421875,bonds,ZN=F
2024-01-18,111.203125,bonds,ZN=F
2024-01-19,111.125,bonds,ZN=F
2024-01-22,111.5,bonds,ZN=F
2024-01-23,111.21875,bonds,ZN=F
2024-01-24,110.96875,bonds,ZN=F
2024-01-25,111.3125,bonds,ZN=F
2024-01-26,111.03125,bonds,ZN=F
2024-01-29,111.515625,bonds,ZN=F
2024-01-30,111.625,bonds,ZN=F
2024-01-31,112.328125,bonds,ZN=F
2024-02-01,112.890625,bonds,ZN=F
2024-02-02,111.65625,bonds,ZN=F
2024-02-05,110.78125,bonds,ZN=F
2024-02-06,111.28125,bonds,ZN=F
2024-02-07,111.1875,bonds,ZN=F
2024-02-08,110.75,bonds,ZN=F
2024-02-09,110.578125,bonds,ZN=F
2024-02-12,110.71875,bonds,ZN=F
2024-02-13,109.625,bonds,ZN=F
2024-02-14,110.015625,bonds,ZN=F
2024-02-15,110.171875,bonds,ZN=F
2024-02-16,109.75,bonds,ZN=F
2024-02-20,109.9375,bonds,ZN=F
2024-02-21,109.625,bonds,ZN=F
2024-02-22,109.5,bonds,ZN=F
